timestamp,token_id,position,trades,pnl_virtual,drawdown,total_trades,total_profit,total_loss,unrealized_equity
2025-12-27T18:33:33.165407,TRUMP_YES,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.165445,TRUMP_NO,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.165470,BITCOIN_100K,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.287537,TRUMP_YES,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.287683,TRUMP_NO,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.287699,BITCOIN_100K,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.413871,TRUMP_YES,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.413931,TRUMP_NO,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.413956,BITCOIN_100K,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.535301,TRUMP_YES,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.535358,TRUMP_NO,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.535388,BITCOIN_100K,0.0,0,0.0,0.0,0,0,0,10000.0
2025-12-27T18:33:33.672497,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:33.672553,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:33.672607,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:33.813799,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:33.813850,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:33.813871,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:33.951294,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:33.951388,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:33.951419,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.094467,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.094512,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.094528,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.235149,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.235206,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.235235,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.381757,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.381815,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.381842,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.523129,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.523190,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.523214,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.679679,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.679734,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.679758,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.818461,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.818558,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.818600,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.940178,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.940232,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:34.940259,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.086599,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.086652,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.086673,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.217344,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.217396,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.217418,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.357462,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.357514,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.357538,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.528285,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.528339,TRUMP_NO,-100.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.528363,BITCOIN_100K,0.0,1,0.0,0.0,1,0,0,10000.0
2025-12-27T18:33:35.655782,TRUMP_YES,0.0,1,0.0,0.0,1,0,0,10000.0
